,postername,Total_Likes(Per Post),Like_People
0,Umang Suhalka,4,"{'Jannie Evans Annelie', 'Kendrick Tunrayo', 'Zack Pell', 'Brandon Robinson'}"
1,James Justin Morgan,17,"{'Jannie Evans Annelie', 'Penelope Cameron', 'Keendi Anajen', 'Brandon Robinson', 'Matthew Clarke', 'James Donald', 'Sharon Williams', 'Michael Young', 'Layla Merci Salz', 'Natalie Alex', 'David Alexander', ""Zita Emmy'o"", 'Frank Louis', 'Funke Olisa', 'Davis Peter', 'Eenigma Warner', 'Jorge Ade'}"
2,Nandini Mohan,5,"{'Jeff Clemson', 'Johnson Mabel', 'Michael Young', ""Zita Emmy'o"", 'David Brainard'}"
3,Elizabeth Wagley,15,"{'Jannie Evans Annelie', 'Penelope Cameron', 'Eva Lee', 'Brandon Robinson', 'Sergio Michael', 'Sharon Williams', 'Layla Merci Salz', 'Amy Miller Miller', 'Nil Pori', 'David Alexander', ""Zita Emmy'o"", 'Anthony James', 'Bear Micheal', 'Frank Louis', 'Funke Olisa'}"
4,Tara Pirjaberi,5,"{'Jannie Evans Annelie', 'Penelope Cameron', 'Sharon Williams', 'Kendrick Tunrayo', 'Funke Olisa'}"
5,Nicolette Schurhoff,10,"{'Jannie Evans Annelie', 'Makhdoom Hina', 'Eva Lee', 'Brandon Robinson', 'Brown Scott', 'Sharon Williams', 'Natalie Alex', 'Kendrick Tunrayo', 'Frank Louis', 'Elizabeth Julius'}"
6,Keenan Deon,12,"{'Jannie Evans Annelie', 'Penelope Cameron', 'Keendi Anajen', 'Andy Josh', 'Brandon Robinson', 'Jessica Brown', 'Sergio Michael', 'Michael Young', 'Layla Merci Salz', 'Rapheal Chafee', 'Frank Louis', 'Funke Olisa'}"
7,Ushbah Asim,12,"{'Jannie Evans Annelie', 'Eva Lee', 'Brandon Robinson', 'Scott Walter', 'Sharon Williams', 'Layla Merci Salz', 'Kendrick Tunrayo', 'Elizabeth Julius', 'Funke Olisa', 'Frank Louis', ""Isa'ac Richie"", 'Roxana Aubry'}"
8,Muskaan Mahajan,2,"{""Zita Emmy'o"", 'Brandon Robinson'}"
